,Year,Month,Monthly hours worked in all jobs (000),Monthly hours worked in all jobs Males(000),Monthly hours worked in all jobs Females(000),Monthly hours worked in all jobs (employed full-time) (000),Monthly hours worked in all jobs (employed full-time) Males(000),Monthly hours worked in all jobs (employed full-time) Females(000),Monthly hours worked in all jobs (employed part-time) (000),Monthly hours worked in all jobs (employed part-time) Males(000),Monthly hours worked in all jobs (employed part-time) Females(000),Monthly hours worked in all jobs New South Wales(000),Monthly hours worked in all jobs Victoria(000),Monthly hours worked in all jobs Queensland(000),Monthly hours worked in all jobs South Australia(000),Monthly hours worked in all jobs Western Australia(000),Monthly hours worked in all jobs Tasmania(000),Monthly hours worked in all jobs Northern Territory(000),Monthly hours worked in all jobs Australian Capital Territory(000),Monthly worked hour growth (000),Monthly worked hour growth Males (000),Monthly worked hour growth Females (000),Monthly full-time worked hour growth (000),Monthly part-time worked hour growth (000),Monthly hours worked per thousand people New South Wales(000),Monthly hours worked per thousand people Victoria(000),Monthly hours worked per thousand people Queensland(000),Monthly hours worked per thousand people South Australia(000),Monthly hours worked per thousand people Western Australia(000),Monthly hours worked per thousand people Tasmania(000),Monthly hours worked per thousand people Northern Territory(000),Monthly hours worked per thousand people Australian Capital Territory(000)
1979-05-01,1979,5,926665.691462,654882.41122,271783.280242,864429.71223,640981.58609,223448.12614,62235.979232,13900.82513,48335.154102,320749.74839,248898.93742,147906.13774,81740.313421,80276.163659,26043.239564,7794.031228,13257.098135,33.497810999979265,514.2331540000159,-480.73534299997846,49.721829999936745,-16.224019000001135,39.51093229736389,37.541884103832636,28.913329633466915,46.535902886991174,30.5162942518817,48.63350058636788,31.73465483713355,30.967293003971033
1979-06-01,1979,6,947029.484488,669607.48798,277421.996508,884534.1355,655624.52344,228909.61206,62495.348988,13982.96454,48512.384448,327035.05123,261309.60311,144025.20373,85940.310024,80560.556378,26423.83954,7904.3576809,13830.545519,20363.79302600003,14725.076759999967,5638.716266000003,20104.42327000003,259.36975600000005,40.28517507144617,39.41380761549948,28.154667917114654,48.92701965499573,30.624403701817073,49.34423816993464,32.18386677890879,32.30681036907264
1979-07-01,1979,7,922275.084166,651750.171436,270524.91273,860976.16492,638384.41488,222591.75004,61298.919246,13365.756556,47933.16269,323011.0777,248983.70578,140791.95761,82400.472892,79481.845291,26034.435509,7830.2524169,13741.393976,-24754.40032200003,-17857.316543999943,-6897.083778000029,-23557.970579999965,-1196.4297420000003,39.789489738851934,37.554669871340444,27.52261902257844,46.91174090065471,30.214340945411696,48.61705977404295,31.882135247964168,32.09856102779724
1979-08-01,1979,8,929043.545526,656540.023293,272503.522233,867891.96908,643274.32718,224617.6419,61151.576446,13265.696113,47885.880333,327730.93409,249984.9052,141735.10197,81706.112281,80333.726,26058.600691,7796.5570305,13697.563332,6768.4613599999575,4789.851856999914,1978.6095030000433,6915.8041599999415,-147.34279999999853,40.370896044592264,37.705682619647355,27.706988949271818,46.516431699971534,30.538176081502318,48.6621861643324,31.744939049267103,31.99617690259285
1979-09-01,1979,9,929551.079219,656199.921224,273351.157995,867824.53597,642190.27637,225634.2596,61726.543249,14009.644854,47716.898395,327989.97663,250852.09169,141093.68628,81482.532581,80667.547193,26127.986805,7482.4332105,13854.821244,507.53369299997576,-340.1020689998986,847.6357619999908,-67.43310999998357,574.966803000003,40.4028056947524,37.83648195146232,27.581602244159907,46.389144651864505,30.665075341366993,48.7917587394958,30.465933267508145,32.36351610371408
1979-10-01,1979,10,931952.386127,655815.874146,276136.511981,869692.56997,642159.09249,227533.47748,62259.816157,13656.781656,48603.034501,326867.58899,252464.06869,142126.74406,80771.501568,82525.576369,26445.985262,7505.748488,13245.163767,2401.3069080000278,-384.04707800003234,2785.353986000002,1868.033999999985,533.272907999999,40.264546561961076,38.0796194045159,27.783548833936077,45.98434475832622,31.371389176993844,49.385593393090566,30.560865179153097,30.93941548002803
1979-11-01,1979,11,936268.004434,658475.670661,277792.333773,874075.04186,644681.48803,229393.55383,62192.962574,13794.182631,48398.779943,331642.34209,253607.69207,140478.114,81828.599578,80702.140404,26245.767,7707.7759841,14055.536515,4315.618307000026,2659.7965149999363,1655.8217919999734,4382.471890000044,-66.85358300000371,40.852715211874845,38.252114220425646,27.4612675202815,46.58616543011671,30.67822565346309,49.01170308123249,31.383452703990226,32.83236747255314
1979-12-01,1979,12,938437.306943,658943.815139,279493.491804,875991.33876,644943.45134,231047.88742,62445.968183,14000.363799,48445.604384,334011.51467,253998.46514,139519.3006,82067.955975,81397.089181,25427.547026,7764.6216709,14250.771606,2169.302508999943,468.144478000002,1701.158030999999,1916.2968999999575,253.00560899999982,41.1445571162848,38.311055240652195,27.273834542077996,46.72243437233134,30.942404463240326,47.483747947712416,31.614909083469055,33.28841767344078
1980-01-01,1980,1,941607.68022,660013.960819,281593.719401,876624.80824,645444.27837,231180.52987,64982.87198,14569.682449,50413.189531,337524.87092,250845.23029,142102.21124,81861.987802,81538.593651,25983.892536,8023.947053,13726.949404,3170.373277000035,1070.1456800000742,2100.227597000019,633.4694800000871,2536.9037970000063,41.57734305493964,37.83544703389192,27.778753052487538,46.6051738126957,30.996196172356118,48.5226751372549,32.67079418973941,32.064819911235695
1980-02-01,1980,2,940940.206919,658344.259175,282595.947744,877301.2655,643848.82659,233452.43891,63638.941419,14495.432585,49143.508834,333344.2789,253708.37794,142274.83529,81206.483406,82469.089415,25753.046265,8183.400381,14000.768279,-667.4733009999618,-1669.7016440000152,1002.2283429999952,676.4572599999374,-1343.930561000001,41.06236497905888,38.26730085521652,27.812498346202716,46.23198599829206,31.349916146506498,48.09158966386555,33.32003412459284,32.70443419528147
